LID,BPID,FPID,BLID,FLID
1,1327,1328,0,2
2,1328,1329,1,3
3,1329,1330,2,4
4,1330,1331,3,5
5,1331,1332,4,6
6,1332,1333,5,7
7,1333,1334,6,8
8,1334,1335,7,9
9,1335,1336,8,10
10,1336,1337,9,11
11,1337,1338,10,12
12,1338,1339,11,13
13,1339,1340,12,14
14,1340,1341,13,15
15,1341,1342,14,16
16,1342,1343,15,17
17,1343,1344,16,18
18,1344,1345,17,19
19,1345,1346,18,20
20,1346,1347,19,21
21,1347,1348,20,22
22,1348,1349,21,0
